step,baseline_train_loss,reader_train_loss
782,3.200255,3.399834
783,3.207619,3.40811
784,3.20464,3.405821
785,3.196278,3.397051
786,3.196422,3.398194
787,3.197446,3.399891
788,3.189636,3.391632
789,3.194417,3.395135
790,3.200106,3.401634
791,3.200827,3.402195
792,3.203924,3.405359
793,3.199939,3.4001
794,3.199686,3.39937
795,3.190784,3.390706
796,3.192361,3.391919
797,3.195636,3.394721
798,3.187362,3.386505
799,3.189041,3.387527
800,3.193339,3.391876
801,3.202703,3.401599
802,3.197293,3.396855
803,3.207609,3.4074
804,3.191045,3.390595
805,3.190232,3.38997
806,3.196644,3.396445
807,3.199676,3.399853
808,3.202628,3.402917
809,3.198031,3.397414
810,3.180392,3.379818
811,3.170278,3.369355
812,3.170371,3.369193
813,3.179492,3.378256
814,3.176312,3.375873
815,3.178836,3.379103
816,3.177615,3.377922
817,3.182657,3.383128
818,3.184868,3.385169
819,3.187759,3.38867
820,3.179952,3.38154
821,3.175249,3.377177
822,3.175526,3.377375
823,3.185544,3.386199
824,3.181766,3.382493
825,3.172024,3.372999
826,3.169144,3.369945
827,3.170514,3.371826
828,3.164535,3.366171
829,3.17243,3.373374
830,3.175268,3.375607
831,3.178567,3.378364
832,3.175953,3.376428
833,3.169827,3.370983
834,3.169967,3.371151
835,3.176113,3.376586
836,3.174384,3.374745
837,3.172938,3.37349
838,3.177972,3.378266
839,3.178709,3.378631
840,3.18083,3.381619
841,3.18244,3.384191
842,3.181737,3.384092
843,3.177127,3.378684
844,3.171068,3.372524
845,3.171854,3.37308
846,3.167165,3.36973
847,3.181658,3.383363
848,3.181477,3.383756
849,3.171154,3.372562
850,3.17357,3.374361
851,3.183499,3.38475
852,3.171934,3.372935
853,3.170366,3.370319
854,3.167845,3.367876
855,3.167555,3.3669
856,3.166657,3.365266
857,3.165898,3.364545
858,3.152748,3.352065
859,3.148125,3.346796
860,3.151988,3.351177
861,3.155879,3.355349
862,3.164964,3.363774
863,3.165377,3.365256
864,3.170099,3.370583
865,3.171283,3.372086
866,3.174978,3.376313
867,3.180972,3.382296
868,3.180198,3.380939
869,3.180357,3.38121
870,3.170402,3.371274
871,3.170325,3.370826
872,3.159436,3.360287
873,3.162543,3.363191
874,3.168213,3.367925
875,3.155196,3.354757
876,3.161172,3.3613
877,3.149339,3.349523
878,3.143352,3.342817
879,3.133581,3.332457
880,3.137761,3.337429
881,3.146585,3.346396
882,3.159908,3.359806
883,3.146943,3.346884
884,3.156261,3.356294
885,3.151,3.351688
886,3.143401,3.344936
887,3.142372,3.343486
888,3.137261,3.338184
889,3.137899,3.338169
890,3.135668,3.335691
891,3.142032,3.341631
892,3.150023,3.349977
893,3.145654,3.344582
894,3.147355,3.346273
895,3.138613,3.338563
896,3.142695,3.342554
897,3.153871,3.353896
898,3.159845,3.359618
899,3.161189,3.361105
900,3.162168,3.361761
901,3.165689,3.365482
902,3.153018,3.353113
903,3.155639,3.355103
904,3.167599,3.366047
905,3.159005,3.356846
906,3.160679,3.358222
907,3.160938,3.357923
908,3.153812,3.350532
909,3.15228,3.350127
910,3.138153,3.335745
911,3.137218,3.334513
912,3.138896,3.336172
913,3.137131,3.335198
914,3.1354,3.334131
915,3.127053,3.325887
916,3.132712,3.332575
917,3.146,3.345517
918,3.144551,3.344225
919,3.136676,3.336329
920,3.135876,3.335027
921,3.13744,3.335347
922,3.12219,3.320473
923,3.124046,3.322357
924,3.116765,3.313761
925,3.120958,3.317518
926,3.127966,3.325701
927,3.129626,3.326876
928,3.129864,3.327372
929,3.134443,3.33183
930,3.133857,3.331665
931,3.145085,3.342825
932,3.159408,3.358141
933,3.153843,3.351633
934,3.142718,3.340228
935,3.14451,3.34166
936,3.153207,3.350223
937,3.154964,3.351556
938,3.148239,3.345478
939,3.139707,3.336087
940,3.140902,3.337327
941,3.137198,3.333491
942,3.126553,3.323042
943,3.128327,3.324167
944,3.131607,3.328111
945,3.127452,3.324101
